resolution mapping	resolution mapping	mapping
resolution wheat population	resolution wheat population	population
resolved band	resolve band	band
respective DNA pools	respective DNA pool	pool
respective low GPC parents	respective low GPC parent	parent
respective QTLs	respective QTLs	QTLs
respective susceptible alleles	respective susceptible allele	allele
response to selection	response to selection	response
restriction enzyme MspI	restriction enzyme MspI	MspI
restriction fragment length polymorphism marker probe IAG95	restriction fragment length polymorphism marker probe IAG95	IAG95
restriction fragment length polymorphism markers	restriction fragment length polymorphism marker	marker
restriction fragment length polymorphisms	restriction fragment length polymorphism	polymorphism
Restriction of PCR products	restriction of PCR product	restriction
resulting polymorphic markers	result polymorphic marker	marker
results of dCAPS analysis	result of dCAPS analysis	result
results of expressed sequence tag marker	result of express sequence tag marker	result
results of real time PCR	result of real time PCR	result
results of resistance tests	result of resistance test	result
results of SDS	result of SDS	result
Results of tests	result of test	result
results of wheat grain analysis	result of wheat grain analysis	result
results revealed high significant differences	result reveal high significant difference	difference
retained significance at alpha	retain significance at alpha	significance
retention of wheat alleles	retention of wheat allele	retention
retroelements	retroelements	retroelements
retrotransposon Hopscotch polyprotein	retrotransposon Hopscotch polyprotein	polyprotein
retrotransposon	retrotransposon	retrotransposon
reversible interconversion of mannose	reversible interconversion of mannose	interconversion
review	review	review
revision	revision	revision
Rf gene	Rf gene	gene
RFLP marker KSUD14	RFLP marker KSUD14	KSUD14
RFLP MARKER	RFLP Marker	Marker
RFLP markers	RFLP marker	marker
RFLP probes	RFLP probe	probe
RFLP	RFLP	RFLP
RFLPs	RFLPs	RFLPs
RGAP markers	RGAP marker	marker
RGAP marker Tgp	RGAP marker Tgp	Tgp
RGAP primer combinations	RGAP primer combination	combination
RGA	RGA	RGA
RGC	RGC	RGC
Rht8 genes	Rht8 gene	gene
Rht alleles	Rht allele	allele
Rht donor lines	Rht donor line	line
Rht genes	Rht gene	gene
Rialto	Rialto	Rialto
ribulose	ribulose	ribulose
rice chromosome	rice chromosome	chromosome
rice colinearity	rice colinearity	colinearity
rich geographic region	rich geographic region	region
rich region	rich region	region
rich regions	rich region	region
rich repeat	rich repeat	repeat
right clones	right clone	clone
rightness	rightness	rightness
rights	right	right
RIL	RIL	RIL
RILs	RILs	RILs
RILs showed normal distribution	RILs show normal distribution	distribution
Rkn	Rkn	Rkn
RKN	RKN	RKN
RNA	RNA	RNA
Rns	Rns	Rns
Robust molecular markers	robust molecular marker	marker
robust PCR marker	robust PCR marker	marker
role of MAS	role of MAS	role
root	root	root
roots	root	root
RPG	RPG	RPG
RS111	RS111	RS111
RSA primer pair	RSA primer pair	pair
RSA primers	RSA primer	primer
RT	RT	RT
Russian wheat aphid	Russian_wheat_aphid	Russian_wheat_aphid
rust nurseries	rust nursery	nursery
rust of grain	rust of grain	rust
rust resistance gene Rpl	rust resistance gene Rpl	Rpl
rust resistance genes Lr24	rust resistance gene Lr24	Lr24
rust resistance genes Sr39	rust resistance gene Sr39	Sr39
rust resistant wheat cultivars	rust resistant wheat cultivar	cultivar
rusts	rusts	rusts
rust susceptibility of European wheats	rust susceptibility of European wheat	susceptibility
rust test	rust test	test
Ruzyne	Ruzyne	Ruzyne
RWA resistance genes	RWA resistance gene	gene
RWA	RWA	RWA
rye B chromosome	rye B chromosome	chromosome
rye chromosomal segment	rye chromosomal segment	segment
rye chromosome translocations	rye chromosome translocation	translocation
rye cultivar	rye cultivar	cultivar
rye genetic marker	rye genetic marker	marker
rye genome	rye genome	genome
rye segregants	rye segregants	segregants
rye substitution line of 'Saratovskaya 29' 5R(5D)	rye substitution line of 'Saratovskaya 29' 5R(5D)	line
rye translocation cultivars	rye translocation cultivar	cultivar
S1319	S1319	S1319
S1360	S1360	S1360
S1384 primer	S1384 primer	primer
S1384	S1384	S1384
S1 family recurrent selection	S1 family recurrent selection	selection
S336(775)	S336(775)	S336(775)
S411600	S411600	S411600
S5(550)	S5(550)	S5(550)
salinity marker assisted selection	salinity marker assist selection	selection
Salt	Salt	Salt
sample of harvested wheat	sample of harvest wheat	sample
sample sizes	sample size	size
samples of Chinese accessions	sample of Chinese accession	sample
sampling occasions	sampling occasion	occasion
sandwich	sandwich	sandwich
Sarka	Sarka	Sarka
SBCMV resistance	SBCMV resistance	resistance
SBCMV	SBCMV	SBCMV
SBW25	SBW25	SBW25
scab resistance genes	scab resistance gene	gene
scab resistance germplasm Wangshuibai	scab resistance germplasm Wangshuibai	Wangshuibai
scab resistance locus	scab resistance locus	locus
Scab resistance of F7 RILs	scab resistance of F7 RILs	resistance
scab resistance QTLs of wheat	scab resistance QTLs of wheat	QTLs
scab resistance QTLs Qfh	scab resistance QTLs Qfh	Qfh
Scab	scab	scab
Scab symptoms	scab symptom	symptom
scale development of compound SSR markers	scale development of compound SSR marker	development
SCAR marker (SCABC(823))	SCAR marker (SCABC(823))	(SCABC(823))
SCAR marker	scar marker	marker
SCAR markers co	SCAR marker Co	Co
SCAR marker (SCS73(719))	SCAR marker (SCS73(719))	(SCS73(719))
SCAR primers	SCAR primer	primer
SCARs	scar	scar
Schachermayr et al	Schachermayr et al	al
Schmal	Schmal	Schmal
scorable amplification product	scorable amplification product	product
scorable amplification products	scorable amplification product	product
score application	score application	application
score	score	score
score traits	score trait	trait
score values	score value	value
screening of SSR markers	screening of SSR marker	screening
Screening	screening	screening
screen	screen	screen
SCS1302607	SCS1302607	SCS1302607
SCS421570	SCS421570	SCS421570
SCS73(719)	SCS73(719)	SCS73(719)
SC	SC	SC
Secale cereale L.	Secale_cereale_L.	Secale_cereale_L.
Secaline block Gld 1B3	Secaline block Gld 1B3	1B3
secalin gene	secalin gene	gene
second cycle of selection	second cycle of selection	cycle
second cycle	second cycle	cycle
second experiment	second experiment	experiment
seedling evaluations	seedling evaluation	evaluation
seedling length	seedling length	length
seedling resistance gene Lr24	seedling resistance gene Lr24	Lr24
seedlings	seedling	seedling
seedling stripe rust	seedling stripe rust	rust
seedling yellow rust resistance gene	seedling yellow rust resistance gene	gene
seed number	seed number	number
seed sample	seed sample	sample
seed	seed	seed
Seeds of wheat	seed of wheat	seed
seed storage protein	seed storage protein	protein
seed storage proteins	seed storage protein	protein
segment of 1RS	segment of 1RS	segment
segments of rye chromosome	segment of rye chromosome	segment
segregants	segregants	segregants
segregating backcross generations	segregate backcross generation	generation
segregating F	segregate F	F
segregating population	segregate population	population
segregating progeny	segregate progeny	progeny
Segregation analyses of Bt	segregation analysis of Bt	analysis
segregation data	segregation datum	datum
Segregation distortion	segregation distortion	distortion
segregation ratio	segregation ratio	ratio
selectable gene	selectable gene	gene
selectable marker gene of plant origin	selectable marker gene of plant origin	gene
selectable marker gene	selectable marker gene	gene
selectable marker	selectable marker	marker
selected BC4F7 plants	select BC4F7 plants	plants
selected cycle	select cycle	cycle
selected cycle	selected cycle	cycle
Selected F2 line	selected F2 line	line
selected favourable rust resistance	selected favourable rust resistance	resistance
selected F	selected F	F
selected genotypes	selected genotype	genotype
selected lines	select line	line
selected SSR markers	selected SSR marker	marker
selected SSRs	selected SSRs	SSRs
selected trait	select trait	trait
selected variant	select variant	variant
selected variants	select variant	variant
selected wheat genotypes	selected wheat genotype	genotype
selected wheat	selected wheat	wheat
selection criteria	selection criterion	criterion
selection criterion	selection criterion	criterion
'selection efficiency' of a commonly used negative selection method	'selection efficiency' of a commonly use negative selection method	efficiency'
selection efficiency	selection efficiency	efficiency
Selection of F3 individuals	selection of F3 individual	selection
selection of partial waxy wheat lines	selection of partial waxy wheat line	selection
selection of quantitative trait loci	selection of quantitative trait locus	selection
selection of recurrent parent genome	selection of recurrent parent genome	selection
selection of resistant plants	selection of resistant plants	selection
selection of RILs	selection of RILs	selection
Selection of RILs	selection of RILs	selection
selection of Sr35	selection of Sr35	selection
selection of starch	selection of starch	selection
selection of these lines	selection of these line	selection
selection of wheat lines	selection of wheat line	selection
selection phase	selection phase	phase
selection process	selection process	process
Selection	selection	selection
selection strategies	selection strategy	strategy
selection strategy	selection strategy	strategy
selection system	selection system	system
selection variants	selection variant	variant
selective agent	selective agent	agent
selective bases	selective base	base
selective breeding	selective breeding	breeding
selective genotyping of F2 individuals	selective genotyping of F2 individual	genotyping
selective genotyping	selective genotyping	genotyping
selective medium	selective medium	medium
selective toxin Ptr ToxA	selective toxin Ptr ToxA	ToxA
self	self	self
semidwarf plant type	semidwarf plant type	type
semi	semi	semi
sensitive forms	sensitive form	form
sensitivity	sensitivity	sensitivity
September	September	September
Septoria resistance genes	Septoria resistance gene	gene
Septoria tritici blotch	Septoria_tritici blotch	blotch
Septoria tritici resistance of common wheat	Septoria_tritici resistance of common_wheat	resistance
sequenced BACs	sequenced BACs	BACs
sequence ready BAC contigs	sequence ready BAC contigs	contigs
sequences of PPO genes	sequence of PPO gene	sequence
sequence tagged site	sequence tag site	site
sequence tagged sites technique	sequence tag site technique	technique
Sequence Tag Site marker XustSSR2001	sequence Tag Site marker XustSSR2001	XustSSR2001
sequencing result	sequencing result	result
sequential FISH	sequential FISH	FISH
series of effective chromosome markers	series of effective chromosome marker	series
series of recombinants	series of recombinants	series
'Serio'	'Serio'	'Serio'
serious disease of wheat	serious disease of wheat	disease
serious problem to world wheat production	serious problem to world wheat production	problem
set of all Triticum aestivum varieties	set of all Triticum_aestivum variety	set
set of AS	set of AS	set
set of Chinese Spring nullisomic	set of Chinese spring nullisomic	set
set of nulli	set of nulli	set
set	set	set
sets of PCR primers	set of PCR primer	set
several agronomic traits	several agronomic trait	trait
several alleles	several allele	allele
Several candidate RAPD markers	several candidate RAPD marker	marker
several different aspects of crop improvement	several different aspect of crop improvement	aspect
several empirical methods	several empirical method	method
several European breeding programs	several European breeding program	program
Several hundreds of genotypes	several hundred of genotype	hundred
several independent mapping studies	several independent mapping study	study
several lines	several line	line
several PCR	several PCR	PCR
several plant genes	several plant gene	gene
Several Pm3 alleles	several Pm3 allele	allele
several quantitative trait loci	several quantitative trait locus	locus
several regions	several region	region
several research groups	several research group	group
several resistant accessions	several resistant accession	accession
several retrotransposons	several retrotransposons	retrotransposons
several rye	several rye	rye
severe stem rust epidemic	severe stem rust epidemic	epidemic
Shango	Shango	Shango
shape	shape	shape
sharp band	sharp band	band
shoots	shoot	shoot
short alien translocation stock	short alien translocation stock	stock
short arm of chromosome 5B	short arm of chromosome 5B	5B
short arm of chromosome 5D	short arm of chromosome 5D	arm
short arm of chromosome 6A	short arm of chromosome 6A	arm
short arm of homologous group six chromosomes	short arm of homologous group six chromosome	arm
short arms of homologous group	short arm of homologous group	arm
short arms	short arm	arm
short breeding cycles	short breeding cycle	cycle
short chromosome segment	short chromosome segment	segment
short sequence	short sequence	sequence
short wheat T. aestivum 'Ai	short wheat T._aestivum 'Ai	'Ai
showed polymorphism	show polymorphism	polymorphism
showed polymorphism wheat microsatellite marker	show polymorphism wheat microsatellite marker	marker
showed significant association of a specific allele	show significant association of a specific allele	association
showing monogenic inheritance	showing monogenic inheritance	inheritance
shuibai	shuibai	shuibai
sib	sib	sib
sides	side	side
Significance	significance	significance
significant annual yield losses	significant annual yield loss	loss
significant effects	significant effect	effect
significant hits	significant hit	hit
significant microsatellite markers	significant microsatellite marker	marker
significant pathogen of wheat	significant pathogen of wheat	pathogen
significant proportion of Australian wheat cultivars	significant proportion of Australian wheat cultivar	proportion
Significant regression suggested linkage	significant regression suggest linkage	linkage
significant results	significant result	result
significant threat to wheat production	significant threat to wheat production	threat
significant variation	significant variation	variation
silent 1Dx5 transgenes	silent 1Dx5 transgene	transgene
silico	silico	silico
similar agronomic performance	similar agronomic performance	performance
similar facilities	similar facility	facility
similar genotypes	similar genotype	genotype
similar infection type against rust culture PRTUS6	similar infection type against rust culture PRTUS6	PRTUS6
similar pathogenic fungi	similar pathogenic fungi	fungi
similar pattern of variation	similar pattern of variation	pattern
similar response patterns	similar response pattern	pattern
simple correlation	simple correlation	correlation
simple DNA preparation method	simple DNA preparation method	method
simple Mendelian locus designated Gpc	simple Mendelian locus designate Gpc	Gpc
simple method	simple method	method
simple sequence repeat loci	simple sequence repeat locus	locus
simple sequence repeat marker analysis	simple sequence repeat marker analysis	analysis
simple sequence repeat marker	simple sequence repeat marker	marker
simple sequence repeat markers	simple sequence repeat marker	marker
Simple sequence repeat motifs of wheat simple sequence repeat	simple sequence repeat motif of wheat simple sequence repeat	motif
simple sequence repeat primers	simple sequence repeat primer	primer
simple sequence repeat	simple sequence repeat	repeat
simple sequence repeats	simple sequence repeat	repeat
simple	simple	simple
simple technique	simple technique	technique
simplified ELISA	simplify ELISA	ELISA
simplified enzyme	simplify enzyme	enzyme
simulation study	simulation study	study
single amplified band	single amplify band	band
single antibody	single antibody	antibody
single back	single back	back
single base pair difference	single base pair difference	difference
single cultivar	single cultivar	cultivar
single dominant gene	single dominant gene	gene
single genotype	single genotype	genotype
single kernel method	single kernel method	method
single kernels	single kernel	kernel
single marker linear regression approach	single marker linear regression approach	approach
single ND	single ND	ND
single nucleotide polymorphism marker	single nucleotide polymorphism marker	marker
single nucleotide polymorphisms	single nucleotide polymorphism	polymorphism
single PCR product	single PCR product	product
single plants	single plants	plants
Single plants	single plants	plants
single primer	single primer	primer
single seed descent method	single seed descent method	method
single seedling	single seedling	seedling
single source of resistance	single source of resistance	source
single triticale line	single triticale line	line
single uninterrupted open reading frame	single uninterrupted open reading frame	frame
single wheat genotype	single wheat genotype	genotype
single wheat kernels	single wheat kernel	kernel
Siria	Siria	Siria
situation	situation	situation
situ hybridization	situ hybridization	hybridization
SKr region	SKr region	region
SKr	SKr	SKr
SK	SK	SK
Slovakia	Slovakia	Slovakia
slow rusting cultivars showed features	slow rust cultivar show feature	feature
slow rusting nature	slow rust nature	nature
slow rusting resistance to leaf rust	slow rust resistance to leaf rust	resistance
small chromosomal fragments	small chromosomal fragment	fragment
small F	small F	F
small piece of alkali	small piece of alkali	piece
small region of chromosome 5BL	small region of chromosome 5BL	region
small rye segments	small rye segment	segment
small sample of elite wheat genotypes	small sample of elite wheat genotype	sample
small segments	small segment	segment
SMP5	SMP5	SMP5
SNaPshot(R) Multiplex System	SNaPshot(R) Multiplex System	System
snap	snap	snap
SNP discovery projects	SNP discovery project	project
SNP marker	SNP marker	marker
SNP polymorphism	SNP polymorphism	polymorphism
SNP	SNP	SNP
SNPs	SNPs	SNPs
SNuPE	SNuPE	SNuPE
sodium dodecyl sulphate	sodium dodecyl sulphate	sulphate
Sofia	Sofia	Sofia
soft red winter wheat	soft red winter wheat	wheat
soft red winter wheats	soft red winter wheat	wheat
software 'DNAMAN'	software 'DNAMAN'	'DNAMAN'
soft x	soft x	x
Soil-borne cereal mosaic virus resistance	Soil-borne_cereal_mosaic_virus resistance	resistance
solid MS medium plate	solid MS medium plate	plate
somatic embryogenesis of wheat callus cultures	somatic embryogenesis of wheat callus culture	embryogenesis
sorokininana	sorokininana	sorokininana
source of resistance to wheat sawfly	source of resistance to wheat sawfly	source
source plasmids	source plasmid	plasmid
source	source	source
South eastern Australia	South eastern Australia	Australia
Southern blot analysis	Southern blot analysis	analysis
Southern blot hybridization	Southern blot hybridization	hybridization
South	South	South
southwestern Japan	southwestern Japan	Japan
'Spada'	'Spada'	'Spada'
Spanish cv.	Spanish cv.	cv.
Spanish wheat	Spanish wheat	wheat
Spearman	Spearman	Spearman
specific alleles of this important quality	specific allele of this important quality	allele
specific amplification pattern	specific amplification pattern	pattern
specific chromosome segments	specific chromosome segment	segment
specific chromosomes	specific chromosome	chromosome
Specific DNA bands	specific DNA band	band
specific DNA sequences	specific DNA sequence	sequence
specific ELISA	specific ELISA	ELISA
specific grain characteristics	specific grain characteristic	characteristic
specificity to gene Lr9	specificity to gene Lr9	specificity
specific outcome	specific outcome	outcome
specific PCR assay	specific PCR assay	assay
specific PCR fragments	specific PCR fragment	fragment
specific PCR marker	specific PCR marker	marker
specific PCR markers	specific PCR marker	marker
specific primer pairs	specific primer pair	pair
specific primers	specific primer	primer
specific promoter	specific promoter	promoter
specific RAPD markers	specific RAPD marker	marker
specific RAPD primers	specific RAPD primer	primer
specific resistance	specific resistance	resistance
specific Ris	specific Ris	Ris
specific rust resistance genes	specific rust resistance gene	gene
specific sites	specific site	site
Specific SSR alleles	specific SSR allele	allele
specific STMS gwm368 homoeoallele	specific STMS gwm368 homoeoallele	homoeoallele
specific STS markers	specific STS marker	marker
specific target genes	specific target gene	gene
specific traits	specific trait	trait
spectrum durable leaf rust resistance	spectrum durable leaf rust resistance	resistance
Speer f. sp. tritici	Speer f. sp. tritici	tritici
speltoides	speltoides	speltoides
spelt wheat	spelt wheat	wheat
spike	spike	spike
spot blotch disease	spot blotch disease	disease
spring growth habit	spring growth habit	habit
Spring habit genotypes flower	spring habit genotype flower	flower
Spring habit	spring habit	habit
spring periods	spring period	period
spring wheat cultivar 'Zak'	spring wheat cultivar 'Zak'	'Zak'
spring wheat lines	spring wheat line	line
square analysis	square analysis	analysis
Sr21	Sr21	Sr21
Sr24	Sr24	Sr24
Sr31 gene of resistance to black rust	Sr31 gene of resistance to black rust	gene
Sr31 genes	Sr31 gene	gene
Sr31	Sr31	Sr31
Sr35 gene	Sr35 gene	gene
Sr35	Sr35	Sr35
Sr38	Sr38	Sr38
Sr48	Sr48	Sr48
SrAn1	SrAn1	SrAn1
SRAP DNA markers	SRAP DNA marker	marker
SRAP primer combinations	SRAP prime combination	combination
Sr gene	Sr gene	gene
Sr genes	Sr gene	gene
Sr	Sr	Sr
SSR allele	SSR allele	allele
SSR analysis	SSR analysis	analysis
SSR data	SSR datum	datum
SSR diversity	SSR diversity	diversity
SSR loci	SSR locus	locus
SSR marker analyses	SSR marker analysis	analysis
SSR marker analysis	SSR marker analysis	analysis
SSR marker gwm37	SSR marker gwm37	gwm37
SSR marker selection	SSR marker selection	selection
SSR marker Xgwm159	SSR marker Xgwm159	Xgwm159
SSR marker Xwmc809	SSR marker Xwmc809	Xwmc809
SSR molecular marker	SSR molecular marker	marker
SSRs	SSRs	SSRs
SSR Xgwm261	SSR Xgwm261	Xgwm261
stabilized dihaploid wheat lines	stabilize dihaploid wheat line	line
stage resistance genes	stage resistance gene	gene
stages of a breeding programme	stage of a breeding programme	stage
standard curve	standard curve	curve
standard variety	standard variety	variety
staple food	staple food	food
starch granule	starch granule	granule
starch properties	starch property	property
starch synthase I	starch synthase I	I
statistical analysis of marker	statistical analysis of marker	analysis
STB resistance genes	STB resistance gene	gene
stem rust resistance gene Sr35	stem rust resistance gene Sr35	Sr35
step MABS method	step MABS method	method
step phenotypic selection	step phenotypic selection	selection
step procedure (CP1(+))	step procedure (CP1(+))	(CP1(+))
sterile plants	sterile plants	plants
STMS marker gwm368 of chromosome 4BS	STMS marker gwm368 of chromosome 4BS	gwm368
STMS primer pairs	STMS prime pair	pair
stranded conformational polymorphism	strand conformational polymorphism	polymorphism
strategic deployment of wheat varieties	strategic deployment of wheat variety	deployment
Strategies	strategy	strategy
strawbreaker foot rot disease response	strawbreaker foot rot disease response	response
strawbreaker foot rot resistance	strawbreaker foot rot resistance	resistance
straw length	straw length	length
strength	strength	strength
Streptornyces hygroscopicus bar gene	Streptornyces hygroscopicus bar gene	gene
stripe rust races	stripe rust race	race
stripe rust resistance gene Yr15	stripe rust resistance gene Yr15	Yr15
stripe rust resistance gene Yr29	stripe rust resistance gene Yr29	Yr29
stripe rust resistance levels	stripe rust resistance level	level
stripe rust severity	stripe rust severity	severity
stripe rusts	stripe rusts	rusts
Stripe rust	stripe rust	rust
strong association	strong association	association
strong homologies	strong homology	homology
strong influence	strong influence	influence
strong interaction	strong interaction	interaction
strong QTL	strong QTL	QTL
structure of a resistance gene analog	structure of a resistance gene analog	structure
STS7	STS7	STS7
STS marker based tracking of slow rusting Lr34 gene	STS marker base tracking of slow rust Lr34 gene	tracking
STS marker Pina	STS marker Pina	Pina
STS marker PPO18	STS marker PPO18	PPO18
STS markers	STS marker	marker
STS marker YP7A	STS marker YP7A	YP7A
STS primers	STS primer	primer
studies	study	study
Studies	study	study
study demonstrated successful application of MAS	study demonstrate successful application of MAS	application
study of this QTL	study of this QTL	study
study of Th	study of Th	study
study utilized molecular markers	study utilize molecular marker	marker
style noodle production	style noodle production	production
subfamilies	subfamily	subfamily
subfragment of a receptor	subfragment of a receptor	subfragment
submicroscopic region	submicroscopic region	region
Subsequent sequencing analysis	subsequent sequencing analysis	analysis
substantial improvement	substantial improvement	improvement
substituted chromosomes	substitute chromosome	chromosome
substitution lines	substitution line	line
subunit combination	subunit combination	combination
subunits 5+10	subunits 5+10	5+10
successful application of a marker	successful application of a marker	application
successful crop improvement	successful crop improvement	improvement
successful detection of these genes	successful detection of these gene	detection
Suggestions	suggestion	suggestion
Sulaimanyah	Sulaimanyah	Sulaimanyah
sulfonylurea	sulfonylurea	sulfonylurea
Sumai 3 haplotype	Sumai 3 haplotype	haplotype
'Sumai Y	'Sumai Y	Y
summary	summary	summary
'Sunstar*6	'Sunstar*6	'Sunstar*6
Sunstar*6	Sunstar*6	Sunstar*6
superior bread	superior bread	bread
superior dough properties	superior dough property	property
superior Fusarium head blight resistance	superior Fusarium head blight resistance	resistance
superior solid stem	superior solid stem	stem
superior stem solidness	superior stem solidness	solidness
suppression subtractive hybridization	suppression subtractive hybridization	hybridization
survey	survey	survey
susceptible allele	susceptible allele	allele
susceptible BC3F2 plants	susceptible BC3F2 plants	plants
susceptible BC5F4 progenies	susceptible BC5F4 progeny	progeny
susceptible BC	susceptible BC	BC
susceptible bulks	susceptible bulk	bulk
susceptible bulk	susceptible bulk	bulk
susceptible cultivars	susceptible cultivar	cultivar
susceptible Fg bulk	susceptible Fg bulk	bulk
susceptible F	susceptible F	F
susceptible genotypes	susceptible genotype	genotype
susceptible high	susceptible high	high
susceptible individuals	susceptible individual	individual
susceptible line	susceptible line	line
susceptible offsprings	susceptible offspring	offspring
susceptible ones	susceptible one	one
susceptible parents	susceptible parent	parent
susceptible parent	susceptible parent	parent
susceptible phenotypes showed association	susceptible phenotype show association	association
susceptible plants	susceptible plants	plants
susceptible ratio	susceptible ratio	ratio
susceptible recurrent parent background	susceptible recurrent parent background	background
susceptible recurrent parents	susceptible recurrent parent	parent
susceptible spring wheat cultivar 'Neepawa	susceptible spring wheat cultivar 'Neepawa	'Neepawa
Susceptible	Susceptible	Susceptible
susceptible variety Frisal	susceptible variety Frisal	Frisal
susceptible wheat genotypes	susceptible wheat genotype	genotype
susceptible winter wheats	susceptible winter wheat	wheat
SWB25	SWB25	SWB25
Swedish field trial results	Swedish field trial result	result
S. wheat	S._wheat	S._wheat
SW	SW	SW
SYBR green detection method	SYBR green detection method	method
symptom expression	symptom expression	expression
syntenic intergenic space	syntenic intergenic space	space
synthetic amphiploid	synthetic amphiploid	amphiploid
synthetic peptide immunogen	synthetic peptide immunogen	immunogen
synthetic wheats	synthetic wheat	wheat
T1AL	T1AL	T1AL
T6BS	T6BS	T6BS
T6VS	T6VS	T6VS
T7DS	T7DS	T7DS
TA1649	TA1649	TA1649
Tabasi mutant lines	Tabasi mutant line	line
T. aestivum ABCT	T._aestivum ABCT	ABCT
T. aestivum cv WL711	T._aestivum Cv WL711	WL711
tagged site marker	tag site marker	marker
tagged strain	tag strain	strain
Taichung	Taichung	Taichung
Taigu	Taigu	Taigu
Tajan	Tajan	Tajan
T allele	T allele	allele
tall high	tall high	high
'TAM 107'	'TAM 107'	107'
TAM	Tam	Tam
tan spot fungus	tan spot fungus	fungus
targeted genes	targeted gene	gene
targeted gene	targeted gene	gene
targeted introgression of genes	targeted introgression of gene	introgression
targeted marker enrichment of wheat chromosomal regions	targeted marker enrichment of wheat chromosomal region	enrichment
targeted marker enrichment	targeted marker enrichment	enrichment
targeted trait genes	targeted trait gene	gene
target enzyme	target enzyme	enzyme
target gene(s)	target gene(s)	gene(s)
target gene	target gene	gene
target loci	target locus	locus
target of this breeding strategy	target of this breeding strategy	target
target QTL regions	target QTL region	region
target region amplification polymorphism	target region amplification polymorphism	polymorphism
target regions	target region	region
target tissue	target tissue	tissue
target traits	target trait	trait
Ta	Ta	Ta
tauschii populations	tauschii population	population
TAUSCHII POPULATIONS	TAUSCHII POPULATIONS	POPULATIONS
tauschii	tauschii	tauschii
TC14	TC14	TC14
TCKSF3	TCKSF3	TCKSF3
TCKSR3	TCKSR3	TCKSR3
Tc*Lrl9	Tc*Lrl9	Tc*Lrl9
T. controversa	T._controversa	T._controversa
Tc	Tc	Tc
'TD18'	'TD18'	'TD18'
T. durum	T._durum	T._durum
technology of choice	technology of choice	technology
Tehran Province	Tehran Province	Province
telABkilA	telABkilA	telABkilA
tellurite resistance	tellurite resistance	resistance
telosomic addition line	telosomic addition line	line
temperate region	temperate region	region
template	template	template
term goal of this research	term goal of this research	goal
terminal domain	terminal domain	domain
terminal isoleucine residue	terminal isoleucine residue	residue
terminal region of 7DL	terminal region of 7DL	region
terminal regions of 7DL	terminal region of 7DL	region
termination sequences	termination sequence	sequence
term propagation	term propagation	propagation
terms	term	term
term strategy	term strategy	strategy
testcross progeny	testcross progeny	progeny
tested agronomic characteristics	test agronomic characteristic	characteristic
tested QTLs	test QTLs	QTLs
tested RAPD markers	test RAPD marker	marker
tested tor amplification	test tor amplification	amplification
tests	test	test
tetraploid wheat bacterial artificial chromosome library	tetraploid wheat bacterial artificial chromosome library	library
tetrasomic lines	tetrasomic line	line
texture genotype of single kernels of wheat	texture genotype of single kernel of wheat	genotype
tgl cells	tgl cell	cell
tgl	tgl	tgl
'Thatcher' NILs	'Thatcher' Nils	Nils
Thatcher NIL	Thatcher Nil	Nil
'Thatcher'	'Thatcher'	'Thatcher'
Thell	Thell	Thell
Thinopyrum intermedium 7E(7D) substitution line P29	Thinopyrum_intermedium 7E(7D) substitution line P29	P29
Thinopyrum intermedium chromosome	Thinopyrum_intermedium chromosome	chromosome
Thinopyrum ponticum partial amphiploid BE	Thinopyrum_ponticum partial amphiploid BE	BE
third codon positions	third codon position	position
Thornbird	Thornbird	Thornbird
throughput allele	throughput allele	allele
throughput alternative to conventional phenotypic screening	throughput alternative to conventional phenotypic screening	alternative
throughput codominant marker	throughput codominant marker	marker
throughput cost	throughput cost	cost
throughput detection methods	throughput detection method	method
throughput molecular marker	throughput molecular marker	marker
throughput SNP assay technologies	throughput SNP assay technology	technology
Tiaozhong	Tiaozhong	Tiaozhong
Ti fragment	Ti fragment	fragment
tight link	tight link	link
Tilletia controversa Kuhn	Tilletia_controversa Kuhn	Kuhn
Tilletia resistance genes	Tilletia resistance gene	gene
Tilletia sp.	Tilletia sp.	sp.
Tilletia	Tilletia	Tilletia
Tilletia tritici	Tilletia_tritici	Tilletia_tritici
time consuming bioassays	time consuming bioassay	bioassay
time PCR	time PCR	PCR
times	time	time
Titlis	Titlis	Titlis
Ti translocation	Ti translocation	translocation
T. laevis	T._laevis	T._laevis
T. monococcum gene	T._monococcum gene	gene
T. monococcum specific allele of WMS gwm136 locus	T._monococcum specific allele of WMS gwm136 locus	allele
T. monococcum specific allele of WMS gwm136 locus to leaf rust resistance	T._monococcum specific allele of WMS gwm136 locus to leaf rust resistance	allele
T.monococcum	T.monococcum	T.monococcum
TMP3	TMP3	TMP3
TMP4	TMP4	TMP4
tool to aid selection	tool to aid selection	tool
top	top	top
Torfrida	Torfrida	Torfrida
Tornado	Tornado	Tornado
total alleles	total allele	allele
total length of this map	total length of this map	length
total markers	total marker	marker
total numbers of bands	total number of band	number
total phenotypic variation	total phenotypic variation	variation
total selection gain	total selection gain	gain
total	total	total
total yield	total yield	yield
'TR380	'TR380	'TR380
traditional negative selections	traditional negative selection	selection
traditional plant	traditional plant	plant
trait associations	trait association	association
transferred form Aegilops speltoides	transfer form Aegilops_speltoides	Aegilops_speltoides
transformation frequency	transformation frequency	frequency
transformed cells	transform cell	cell
transgene copy number	transgene copy number	number
Transgene expression	Transgene expression	expression
Transgene technology	Transgene technology	technology
